Chinese,Meaning
我,wǒ:I; me
我们,wǒmen:we; us (plural)
你们,nǐmen:you (plural)
他,tā:he; him
她,tā:she; her
他们,tāmen:they (male+female / male; plural)
她们,tāmen:they (females; plural)
这 (这儿),zhè ( zhèr):this (here)
那 (那儿),nà (nàr):that (there)
哪（哪儿）,nǎ (nǎr):where
谁,shéi:who
多少,duōshǎo:how many; how much
几,jǐ:a few; how many
怎么,zěnme:how
怎么样,zěnmeyàng:how about
一,yj:one
三,sān:three
四,sj:four
五,wǔ:five
六,liù:six
七,qj:seven
八,bā:eight
十,shī:ten
零,līng:zero
个,gè:one; a; an
岁,suj:year
本,běn:volume
块,kuài:piece
不,bù:no
没,méi:no
很,hěn:quite; very
都,dōu:all
和,hé:and
在,zài:in; at
的,de:
呢,ne:
喂,wèi:hello
学校,xuéxiào:school
饭馆,fàndiàn:restaurant
商店,shāngdiàn:store
医院,yīyuàn:hospital
火车站,huǒchēzhàn:train station
北京,Běijīng:Beijing
上,shàng:up
下,xià:down
前面,qiánmiàn:front
后面,hòumiàn:behind
今天,jjntiān:today
明天,mjngtiān:tomorrow
昨天,zuótiān:yesterday
上午,shàngwǔ:morning
中午,zhōngwǔ:noon
下午,xiàwǔ:afternoon
年,nián:year
月,yuè:month
星期,xjngqj:week
点,diǎn:dot; spot
分钟,fēnzhōng:minute
现在,xiànzài:now
时候,shjhou:time
爸爸,bàba:father
妈妈,māma:mother
儿子,érzi:son
女儿,nǚér:daughter
老师,lǎoshj:teacher
学生,xuéshēng:student
同学,tóngxué:classmate
朋友,péngyǒu:friend
医生,yjshēng:doctor
先生,xiānsheng:sir
小姐,xiǎojiě:Miss
衣服,yjfu:cloth
菜,cài:dish
米饭,mǐfàn:rice
水果,shuǐguǒ:fruit
苹果,pjngguǒ:apple
茶,chá:tea
杯子,bēizi:cup
钱,qián:money
飞机,fēijj:airplane
租车,chūzūchē:taxi
电视,diànshj:television
电脑,diànnǎo:computer
电影,diànyǐng:movie
天气,tiānqj:weather
猫,māo:cat
狗,gǒu:dog
东西,dōngxi:thing
人,rén:person
名字,mjngzi:name
书,shū:book
汉语,hànyǔ:mandarin Chinese
桌子,zhuōzi:desk
椅子,yǐzi:chair
谢谢,xièxie:thank
不客气,búkèqj:you are welcome
再见,zàijiàn:good-bye
请,qǐng:please
对不起,dujbùqǐ:sorry
没关系,méiguānxj:It doesn't matter
是,shj:be (am; is; are)
有,yǒu:have
看,kàn:look
听,tjng:listen
说话,shuōhuà:speak
读,dú:read
看见,kànjiàn:see
叫,jiào:call
来,lái:come
回,huj:return
去,qù:go
吃,chī:eat
喝,hē:drink
睡觉,shujjiào:sleep
打电话,dǎdiànhuà:call up
买,mǎi:buy
开,kāi:open
住,zhù:live
学习,xuéxj:study
工作,gōngzuò:work
下雨,xiàyǔ:rain
爱,ài:love
想,xiǎng:want
能,néng:can; be able to
好,hǎo:good
大,dà:big
小,xiǎo:small
多,duō:many; much
少,shǎo:few; little
热,rè:hot
高兴,gāoxjng:happy
漂亮,piàoliang:beautiful
